🕘️更新时间,#genre#
2026-08-22 14:35:34,http://123.118.53.84:45237/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

☘️央视频道,#genre#
CCTV-1,http://123.118.53.84:45237/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://114.245.198.169:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV-2,http://123.118.53.84:45237/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://114.245.198.169:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV-3,http://123.118.53.84:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://114.245.198.169:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV-4,http://123.118.53.84:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://114.245.198.169:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV-5,http://123.118.53.84:45237/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://114.245.198.169:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV-5+,http://123.118.53.84:45237/tsfile/live/0016_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://114.245.198.169:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV-6,http://123.118.53.84:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://114.245.198.169:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV-7,http://123.118.53.84:45237/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://114.245.198.169:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV-8,http://123.118.53.84:45237/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://114.245.198.169:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV-9,http://123.118.53.84:45237/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://114.245.198.169:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV-10,http://123.118.53.84:45237/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://114.245.198.169:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV-11,http://123.118.53.84:45237/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://114.245.198.169:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV-12,http://123.118.53.84:45237/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://114.245.198.169:85/tsfile/live/12/1012_1.m3u8?key=txiptv
